Nom;Prénom;"Adresse e-mail";"Numéro de téléphone";Genre;Anniversaire;Login;"Mot de passe";Rôle;"Date d'inscription";"Dernière connexion";Banni
Martin;Marie;mmartin@gmail.com;0698765432;Femme;1995-03-12;marie;password;Admin;"2025-05-16 11:13:18";"2025-05-02 16:43:50";non
Lemoine;Jean;jlemoine@gmail.com;0613579086;Homme;1990-06-20;jean123;azerty;Admin;"2025-05-16 11:17:47";"2025-05-03 09:32:27";non
Lemoine;Claire;clemoine@gmail.com;0678345678;Femme;1998-11-03;claire123;123456;Admin;"2022-01-20 18:45:00";"2025-04-26 12:40:00";Non
Fournier;Luc;lfournier@gmail.com;0612345679;Homme;1985-04-18;lucf;qwerty;VIP;"2020-03-25 09:10:00";"2025-04-26 12:50:00";Non
Dupuis;Sophie;sophie.dupuis@gmail.com;0609876543;Femme;1999-07-22;sophie;pass123;Utilisateur;"2022-04-12 10:00:00";"2025-04-26 13:00:00";Non
Leblanc;Marc;mleblanc@gmail.com;0612345670;Homme;1982-09-01;marcleb;lazylaz;Admin;"2018-11-02 12:15:00";"2025-04-26 13:10:00";Non
Bernard;Emilie;emilie.bernard@gmail.com;0603456789;Femme;1994-02-14;emilie123;passw0rd;Utilisateur;"2021-08-15 16:20:00";"2025-04-26 13:20:00";Non
Blanc;François;francois.blanc@gmail.com;0623456789;Homme;1987-01-30;francois123;simplepass;VIP;"2019-04-01 14:25:00";"2025-05-03 09:30:42";Non
Faure;Isabelle;faure.isabelle@gmail.com;0687654321;Femme;1993-12-09;isabellefa;abcd1234;Utilisateur;"2021-06-30 11:05:00";"2025-04-26 13:40:00";Non
Fournier;Gabriel;gabriel.fournier@gmail.com;0654321098;Homme;1989-10-27;gabriel_f;123qwerty;Admin;"2022-10-10 13:50:00";"2025-04-26 13:50:00";Non
Moreau;Catherine;catherine.moreau@gmail.com;0678901234;Femme;1997-05-03;catmoreau;abcd12345;Utilisateur;"2023-07-15 15:30:00";"2025-04-26 14:00:00";Non
Sanchez;Nicolas;nsanchez@gmail.com;0612345671;Homme;1986-06-06;nicolas123;6789abcd;VIP;"2019-02-21 17:10:00";"2025-04-26 14:10:00";Non
Robert;Monique;monique.robert@gmail.com;0687654320;Femme;1992-01-08;moniquerob;12345;Utilisateur;"2020-12-01 16:40:00";"2025-04-26 14:20:00";Non
Benoit;Julien;jbenoit@gmail.com;0601234567;Homme;1991-03-19;julienben;1234qwert;Admin;"2021-05-11 18:00:00";"2025-04-26 14:30:00";Non
Tanguy;Sébastien;sebastien.tanguy@gmail.com;0678909876;Homme;1995-08-17;sebastien123;5678pass;Utilisateur;"2020-06-14 09:20:00";"2025-04-26 14:40:00";Non
Dumont;Alice;alice.dumont@gmail.com;0612340987;Femme;1999-02-02;alice.dumont;abc123;Utilisateur;"2023-01-01 09:30:00";"2025-04-26 14:50:00";Non
Baron;Thibault;thibault.baron@gmail.com;0676123456;Homme;1988-04-28;thibaultb;12345678;Admin;"2025-05-16 11:14:04";"2025-04-26 15:00:00";Non
Leclercq;Charlotte;charlotte.leclercq@gmail.com;0609870987;Femme;1990-09-13;charlotte_lc;abcdqwerty;VIP;"2020-05-22 08:40:00";"2025-04-26 15:10:00";Non
Lemoine;Julien;julien.lemoine@gmail.com;0698765433;Homme;1996-12-01;julemoine;1234abcd;Utilisateur;"2021-10-30 13:25:00";"2025-04-26 15:20:00";Non
